State,Stream_ID,Site_ID,Site_Name,Pier_ID,Date,Time,US/DS,Pier_Type,Pier_Shape,Effective_Pier_Width,Skew_To_Flow,Approach_Velocity,Approach_Depth,Sediment_Transport,Bed_Material_Type,D16,D50,D84,D95,Sigma_Bed_Material,Debris_Effects,Scour_Depth,Accuracy
AK,Knik River,2,"Knik River at Old Glenn Highway near Palmer, AK",5,7/11/1965,15:30,Upstream,Single,Sharp,6,0,12,18,Live-bed,Non-cohesive,0.92,5,27,83,5.5,Unknown,3.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",7,6/28/1966,0:00,Upstream,Single,Round,5,0,3.2,6.5,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,2.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",5,6/24/1966,0:00,Upstream,Single,Round,5,0,5.9,10,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,4.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",1,6/28/1966,0:00,Upstream,Single,Round,5,0,3.1,3,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,1.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",2,6/24/1966,0:00,Upstream,Single,Round,5,0,5.1,6.5,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,2,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",2,6/28/1966,0:00,Upstream,Single,Round,5,0,3.2,3,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,2,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",3,6/17/1966,0:00,Upstream,Single,Round,5,0,1.6,4,Live-bed,Non-cohesive,0.08,0.58,4,14,6.9,Unknown,1,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",3,6/24/1966,0:00,Upstream,Single,Round,5,0,5.2,10,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,3,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",3,6/28/1966,0:00,Upstream,Single,Round,5,0,3.6,6,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,1.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",4,6/17/1966,0:00,Upstream,Single,Round,5,0,2.5,5,Live-bed,Non-cohesive,0.08,0.58,4,14,6.9,Unknown,1,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",4,6/24/1966,0:00,Upstream,Single,Round,5,0,6.5,10.5,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,4,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",1,6/24/1966,0:00,Upstream,Single,Round,5,0,5,7,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,2,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",4,6/28/1966,0:00,Upstream,Single,Round,5,0,3.8,8,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,2,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",5,6/17/1966,0:00,Upstream,Single,Round,5,0,2.9,4,Live-bed,Non-cohesive,0.08,0.58,4,14,6.9,Unknown,1,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",6,6/28/1966,0:00,Upstream,Single,Round,5,0,3.7,5,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,1.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",6,6/24/1966,0:00,Upstream,Single,Round,5,0,6.8,8.5,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,3.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",6,6/17/1966,0:00,Upstream,Single,Round,5,0,0.9,1.5,Live-bed,Non-cohesive,0.08,0.58,4,14,6.9,Unknown,2.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",5,6/28/1966,0:00,Upstream,Single,Round,5,0,3.7,7.5,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,2.5,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",7,6/17/1966,0:00,Upstream,Single,Round,5,0,0.5,2,Live-bed,Non-cohesive,0.08,0.58,4,14,6.9,Unknown,4,0.5
AK,Knik River,3,"Knik River at S.R. 1 near Eklutna, AK",7,6/24/1966,0:00,Upstream,Single,Round,5,0,6,10,Live-bed,Non-cohesive,0.39,1.8,8,22,4.6,Unknown,6,0.5
AK,Snow River,7,"Snow River at Seward Highway (S.R. 9)  near Seward, AK",5,9/23/1970,0:00,Unknown,Single,Round,3.2,0,5.3,5,Live-bed,Non-cohesive,3,7.6,18,31,3,Insignificant,2.5,0.5
AK,Susitna River,1,"Susitna River at S.R. 3 near Sunshine, AK",4,8/11/1971,0:00,Downstream,Single,Sharp,5,0,9.5,17.5,Clear-water,Non-cohesive,58,70,85,96,1.2,Substantial,5,1
AK,Susitna River,1,"Susitna River at S.R. 3 near Sunshine, AK",1,8/11/1971,0:00,Upstream,Single,Sharp,5,0,10,17.5,Clear-water,Non-cohesive,58,70,85,96,1.2,Insignificant,2,0.5
AK,Susitna River,1,"Susitna River at S.R. 3 near Sunshine, AK",2,7/2/1971,0:00,Upstream,Single,Sharp,5,0,8.5,13.5,Clear-water,Non-cohesive,58,70,85,96,1.2,Insignificant,2.5,0.5
AK,Susitna River,1,"Susitna River at S.R. 3 near Sunshine, AK",2,8/11/1971,0:00,Unknown,Single,Sharp,5,0,9.5,21.5,Clear-water,Non-cohesive,58,70,85,96,1.2,Insignificant,2,1
AK,Susitna River,1,"Susitna River at S.R. 3 near Sunshine, AK",3,7/2/1971,0:00,Upstream,Single,Sharp,5,0,7,11,Clear-water,Non-cohesive,58,70,85,96,1.2,Insignificant,2,0.5
AK,Susitna River,1,"Susitna River at S.R. 3 near Sunshine, AK",4,7/2/1971,0:00,Downstream,Single,Sharp,5,0,5,13.5,Clear-water,Non-cohesive,58,70,85,96,1.2,Substantial,5,0.5
AK,Susitna River,1,"Susitna River at S.R. 3 near Sunshine, AK",1,7/2/1971,0:00,Upstream,Single,Sharp,5,0,6.5,19,Clear-water,Non-cohesive,58,70,85,96,1.2,Insignificant,2.5,0.5
AK,Susitna River,1,"Susitna River at S.R. 3 near Sunshine, AK",3,8/11/1971,0:00,Unknown,Single,Sharp,5,0,11.5,17,Clear-water,Non-cohesive,58,70,85,96,1.2,Insignificant,2,1
AK,Tanana River,5,"Tanana River at S.R. 2 at Big Delta, AK",1,7/16/1971,0:00,Downstream,Single,Round,5,37,7.1,12,Live-bed,Non-cohesive,5,14,42,86,3,Moderate,6,0.5
AK,Tanana River,5,"Tanana River at S.R. 2 at Big Delta, AK",4,7/16/1971,0:00,Downstream,Single,Round,5,37,5.7,14,Live-bed,Non-cohesive,5,14,42,86,3,Moderate,8,0.5
AK,Tanana River,5,"Tanana River at S.R. 2 at Big Delta, AK",3,7/16/1971,0:00,Downstream,Single,Round,5,37,6.8,15,Live-bed,Non-cohesive,5,14,42,86,3,Moderate,6,0.5
AK,Tanana River,5,"Tanana River at S.R. 2 at Big Delta, AK",2,7/16/1971,0:00,Downstream,Single,Round,5,37,7.3,12,Live-bed,Non-cohesive,5,14,42,86,3,Moderate,7,0.5
AK,Tanana River,6,"Tanana River at S.R. 3 at Nenana, AK",1,8/17/1967,0:00,Downstream,Group,Sharp,10,0,8.5,22,Live-bed,Non-cohesive,12,15,19,23,1.3,Moderate,6,0.5
AK,Tazlina River,4,"Tazlina River at Richardson Hwy (S.R. 4)  nr Glennallen,AK",1,9/4/1971,0:00,Upstream,Group,Round,15,0,11.5,15,Live-bed,Non-cohesive,68,90,120,144,1.33,Insignificant,5.5,0.5
AK,Tazlina River,4,"Tazlina River at Richardson Hwy (S.R. 4)  nr Glennallen,AK",1,9/2/1971,0:00,Upstream,Group,Round,15,0,9.5,12,Live-bed,Non-cohesive,68,90,120,144,1.33,Insignificant,5,0.5
AR,Red River,8,"Red River at U.S. 71 at Index, AR",9,5/9/1990,15:00,Downstream,Group,Round,7,8,12.8,42.8,Live-bed,Unknown,,0.119,,,,Unknown,11.2,0.5
AR,Red River,8,"Red River at U.S. 71 at Index, AR",8,5/9/1990,15:00,Downstream,Group,Round,7,11,8.7,40.4,Live-bed,Unknown,,0.119,,,,Unknown,7.6,0.5
AR,Red River,9,"Red River at I-30 near Fulton, AR",5,5/12/1990,14:00,Upstream,Unknown,Sharp,6.5,0,2.4,26.7,Live-bed,Unknown,,0.18,,,,Unknown,8.7,0.5
AR,Red River,9,"Red River at I-30 near Fulton, AR",4,5/12/1990,14:00,Upstream,Unknown,Sharp,7,0,9.5,35.3,Live-bed,Unknown,,0.18,,,,Unknown,14.6,0.5
AR,Red River,10,"Red River at U.S. 82 at Garland, AR",7,5/14/1990,14:00,Downstream,Group,Round,9.8,0,6.2,38.5,Live-bed,Unknown,,0.32,,,,Unknown,14.4,0.5
AR,Red River,10,"Red River at U.S. 82 at Garland, AR",8,5/14/1990,14:00,Downstream,Group,Square,9.8,14,7.7,44.2,Live-bed,Unknown,,0.32,,,,Unknown,5.9,0.5
AR,Red River,10,"Red River at U.S. 82 at Garland, AR",10,5/14/1990,14:00,Downstream,Group,Round,9.8,0,4.8,29.9,Live-bed,Unknown,,0.32,,,,Unknown,10.7,0.5
CO,Arkansas River,13,"Arkansas River at C.R. 613 near Nepesta, CO",1,9/27/1984,10:00,Upstream,Single,Round,4,19,2.7,2.3,Live-bed,Non-cohesive,0.34,0.64,1.19,2.87,1.88,Unknown,2,0.5
CO,Arkansas River,13,"Arkansas River at C.R. 613 near Nepesta, CO",1,6/5/1984,14:00,Upstream,Single,Round,4,0,5.4,7.5,Live-bed,Non-cohesive,0.4,1.19,5.15,10.7,3.61,Unknown,4.3,1
CO,Arkansas River,13,"Arkansas River at C.R. 613 near Nepesta, CO",1,5/23/1984,10:30,Downstream,Single,Round,4,12,3.3,6.9,Live-bed,Non-cohesive,0.4,1.19,5.15,10.7,3.61,Unknown,1.4,0.5
CO,Arkansas River,13,"Arkansas River at C.R. 613 near Nepesta, CO",1,5/23/1984,9:00,Upstream,Single,Round,4,12,3.3,6.9,Live-bed,Non-cohesive,0.4,1.19,5.15,10.7,3.61,Unknown,2.1,0.5
CO,Arkansas River,13,"Arkansas River at C.R. 613 near Nepesta, CO",1,6/5/1984,15:00,Downstream,Single,Round,4,0,5.4,7.5,Live-bed,Non-cohesive,0.4,1.19,5.15,10.7,3.61,Unknown,1.5,0.5
CO,Arkansas River,13,"Arkansas River at C.R. 613 near Nepesta, CO",3,5/23/1984,9:00,Upstream,Single,Round,4,0,2.2,2.1,Live-bed,Non-cohesive,0.4,1.19,5.15,10.7,3.61,Unknown,1,0.5
CO,Arkansas River,13,"Arkansas River at C.R. 613 near Nepesta, CO",3,6/5/1984,15:00,Downstream,Single,Round,4,0,3.3,3.4,Live-bed,Non-cohesive,0.4,1.19,5.15,10.7,3.61,Unknown,1.1,0.5
CO,Arkansas River,13,"Arkansas River at C.R. 613 near Nepesta, CO",3,6/5/1984,14:00,Upstream,Single,Round,4,0,3.3,3.4,Live-bed,Non-cohesive,0.4,1.19,5.15,10.7,3.61,Unknown,1,0.5
CO,Arkansas River,13,"Arkansas River at C.R. 613 near Nepesta, CO",1,9/27/1984,11:00,Downstream,Single,Round,4,19,2.7,2.3,Live-bed,Non-cohesive,0.34,0.64,1.19,2.87,1.88,Unknown,1.4,0.5
CO,Arkansas River,13,"Arkansas River at C.R. 613 near Nepesta, CO",3,5/23/1984,10:30,Downstream,Single,Round,4,0,2.2,2.1,Live-bed,Non-cohesive,0.4,1.19,5.15,10.7,3.61,Unknown,1,0.5
CO,Rio Grande River,14,"Rio Grande River at U.S.285 near Monte Vista, CO",1,9/25/1984,8:00,Upstream,Single,Sharp,3,36,3.7,1.1,Unknown,Non-cohesive,8.81,29.8,68.9,80.8,3.03,Unknown,0.9,0.5
CO,Rio Grande River,14,"Rio Grande River at U.S.285 near Monte Vista, CO",1,5/22/1984,14:00,Downstream,Single,Sharp,3,26,5.4,4,Live-bed,Non-cohesive,8.81,29.8,68.9,80.8,3.03,Unknown,1.5,0.5
CO,Rio Grande River,14,"Rio Grande River at U.S.285 near Monte Vista, CO",1,5/22/1984,12:00,Upstream,Single,Sharp,3,26,5.4,4,Live-bed,Non-cohesive,8.81,29.8,68.9,80.8,3.03,Unknown,1.7,0.5
CO,South Platte River,11,"South Platte River at S.R. 37 near Kersey, CO",5,10/3/1984,10:00,Downstream,Single,Sharp,1.75,43,2.5,2.2,Unknown,Non-cohesive,0.43,1.8,7.86,14.8,4.27,Unknown,1.4,0.5
CO,South Platte River,11,"South Platte River at S.R. 37 near Kersey, CO",4,6/26/1984,14:00,Upstream,Single,Sharp,1.75,43,3.2,4.6,Live-bed,Non-cohesive,0.43,1.1,5.12,10.4,3.45,Unknown,1.5,0.5
CO,South Platte River,11,"South Platte River at S.R. 37 near Kersey, CO",3,5/21/1984,10:00,Upstream,Single,Sharp,1.75,20,4.6,6,Live-bed,Non-cohesive,0.43,1.1,5.12,10.4,3.45,Unknown,1.1,0.5
CO,South Platte River,11,"South Platte River at S.R. 37 near Kersey, CO",4,6/26/1984,16:00,Downstream,Single,Sharp,1.75,43,3.2,4.6,Live-bed,Non-cohesive,0.43,1.1,5.12,10.4,3.45,Unknown,2.2,0.5
CO,South Platte River,11,"South Platte River at S.R. 37 near Kersey, CO",3,5/21/1984,13:00,Downstream,Single,Sharp,1.75,20,4.6,6,Live-bed,Non-cohesive,0.43,1.1,5.12,10.4,3.45,Unknown,2.2,0.5
CO,South Platte River,11,"South Platte River at S.R. 37 near Kersey, CO",4,10/3/1984,8:00,Upstream,Single,Sharp,1.75,0,1.9,1.9,Unknown,Non-cohesive,0.43,1.8,7.86,14.8,4.27,Substantial,1.8,0.5
CO,South Platte River,11,"South Platte River at S.R. 37 near Kersey, CO",4,10/3/1984,10:00,Downstream,Single,Sharp,1.75,0,1.9,1.9,Unknown,Non-cohesive,0.43,1.8,7.86,14.8,4.27,Substantial,2.3,0.5
CO,South Platte River,11,"South Platte River at S.R. 37 near Kersey, CO",5,6/26/1984,16:00,Downstream,Single,Sharp,1.75,43,3.4,3.3,Live-bed,Non-cohesive,0.43,1.1,5.12,10.4,3.45,Unknown,1.6,0.5
CO,South Platte River,11,"South Platte River at S.R. 37 near Kersey, CO",5,5/21/1984,13:00,Downstream,Single,Sharp,1.75,20,4.6,4.3,Live-bed,Non-cohesive,0.43,1.1,5.12,10.4,3.45,Unknown,3,0.5
CO,South Platte River,11,"South Platte River at S.R. 37 near Kersey, CO",4,5/21/1984,10:00,Upstream,Single,Sharp,1.75,20,5.8,5.1,Live-bed,Non-cohesive,0.43,1.1,5.12,10.4,3.45,Unknown,1,0.5
CO,South Platte River,11,"South Platte River at S.R. 37 near Kersey, CO",4,5/21/1984,13:00,Downstream,Single,Sharp,1.75,20,5.8,5.1,Live-bed,Non-cohesive,0.43,1.1,5.12,10.4,3.45,Unknown,2.6,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",6,5/18/1984,11:00,Upstream,Single,Square,0.95,16,3.9,8.7,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,2.4,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",5,10/2/1984,14:00,Upstream,Single,Square,0.95,11,3.5,2.8,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.62,Unknown,1.7,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",8,10/2/1984,16:00,Downstream,Single,Square,0.95,11,2.4,2.6,Live-bed,Non-cohesive,0.3,0.67,2.1,9.3,2.62,Unknown,1,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",8,5/18/1984,13:30,Downstream,Single,Square,0.95,11,4.3,9.4,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Substantial,2,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",8,5/18/1984,11:00,Upstream,Single,Square,0.95,11,4.3,9.4,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Substantial,0.7,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",7,10/2/1984,16:00,Downstream,Single,Square,0.95,13,2.4,2.2,Live-bed,Non-cohesive,0.3,0.67,2.1,9.3,2.62,Unknown,3.1,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",7,10/2/1984,14:00,Upstream,Single,Square,0.95,13,2.4,2.2,Live-bed,Non-cohesive,0.3,0.67,2.1,9.3,2.62,Unknown,1.9,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",7,6/25/1984,16:30,Downstream,Single,Square,0.95,13,3.7,2.2,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,1.2,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",5,10/2/1984,16:00,Downstream,Single,Square,0.95,11,3.5,2.8,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.62,Unknown,1.5,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",7,5/18/1984,13:30,Downstream,Single,Square,0.95,14,5.2,9.2,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Substantial,1.3,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",3,6/25/1984,14:00,Upstream,Single,Square,0.95,20,2.7,1.1,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,1,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",6,10/2/1984,16:00,Downstream,Single,Square,0.95,8,3.7,2,Live-bed,Non-cohesive,0.3,0.67,2.1,9.3,2.62,Unknown,2,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",6,10/2/1984,14:00,Upstream,Single,Square,0.95,8,3.7,2,Live-bed,Non-cohesive,0.3,0.67,2.1,9.3,2.62,Unknown,2,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",6,6/25/1984,16:30,Downstream,Single,Square,0.95,8,3.6,1.7,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,1.3,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",6,6/25/1984,14:00,Upstream,Single,Square,0.95,8,3.6,1.7,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,1.7,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",6,5/18/1984,13:30,Downstream,Single,Square,0.95,16,3.9,8.7,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,2.5,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",3,5/18/1984,11:00,Upstream,Single,Square,0.95,14,3.8,3.3,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,1,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",7,5/18/1984,11:00,Upstream,Single,Square,0.95,14,5.2,9.2,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Substantial,1.3,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",7,6/25/1984,14:00,Upstream,Single,Square,0.95,13,3.7,2.2,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,1.7,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",5,6/25/1984,16:30,Downstream,Single,Square,0.95,11,3.7,1.4,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,1.3,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",5,6/25/1984,14:00,Upstream,Single,Square,0.95,11,3.7,1.4,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,1.8,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",5,5/18/1984,13:30,Downstream,Single,Square,0.95,16,4.1,6.1,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,1.6,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",5,5/18/1984,11:00,Upstream,Single,Square,0.95,16,4.1,6.1,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,2.1,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",4,10/2/1984,14:00,Upstream,Single,Square,0.95,16,2.4,3.4,Live-bed,Non-cohesive,0.3,0.67,2.1,9.3,2.62,Unknown,1.3,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",4,6/25/1984,16:30,Downstream,Single,Square,0.95,16,3.3,1.1,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,0.8,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",4,6/25/1984,14:00,Upstream,Single,Square,0.95,16,3.3,1.1,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,1.2,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",4,5/18/1984,13:30,Downstream,Single,Square,0.95,23,3.9,4.3,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Substantial,1.1,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",8,10/2/1984,14:00,Upstream,Single,Square,0.95,11,2.4,2.6,Live-bed,Non-cohesive,0.3,0.67,2.1,9.3,2.62,Insignificant,0.6,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",2,5/18/1984,13:00,Downstream,Single,Square,0.95,26,3.5,3.3,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Substantial,1.5,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",3,5/18/1984,13:30,Downstream,Single,Square,0.95,14,3.8,3.3,Live-bed,NON-COH,0.4,0.94,3.51,6.98,2.98,Unknown,1.1,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",2,5/18/1984,11:00,Upstream,Single,Square,0.95,26,3.5,3.3,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Substantial,0.5,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",1,10/2/1984,16:00,Downstream,Single,Square,0.95,15,2.4,0.5,Unknown,Non-cohesive,0.3,0.67,2.1,9.3,2.62,Unknown,0,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",1,10/2/1984,14:00,Upstream,Single,Square,0.95,15,2.4,0.5,Live-bed,Non-cohesive,0.3,0.67,2.1,9.3,2.62,Unknown,1.7,0.5
CO,South Platte River,12,"South Platte River at C.R. 87 near Masters, CO",1,6/25/1984,16:30,Downstream,Single,Square,0.95,15,2.3,1.9,Live-bed,Non-cohesive,0.4,0.94,3.51,6.98,2.98,Unknown,1.4,0.5
